# 165.9558225600345
-8,13,29,-22,3,-58,1,-20,-11,-67,-20,-17,-27,6,5,-55,-32,59,18,-16,-46,-10,32,-64,-32,-44,-94,8,-50,-23,36,-48,-58,-72,-85,-11,-7,-41,-79,-80,-73,-32,40,-75,46,37,-15,25,-105,35,-44,19,-127,-13,16,-19,-43,-7,2,-58,-93,6,-83,-61
42,27,40,49,34,-11,-64,8,2,-12,54,29,70,-83,4,-31,12,-41,-72,-20,14,-74,-70,-2,-1,36,27,38,36,-51,0,-10,3,-1,-24,45,62,8,53,13,33,28,-51,-22,26,46,16,-39,-18,-50,-21,16,-24,14,17,-49,10,-55,1,39,-18,44,9,11
-19,-90,-54,-17,19,-24,-5,-7,32,-17,-14,-13,-40,34,-67,-12,-98,-4,-11,34,25,8,-2,19,5,-3,25,-38,28,-1,-12,11,9,11,28,-7,4,15,-13,29,31,26,-22,-3,-39,-40,-6,-54,-58,-25,18,-125,10,36,-54,-73,-19,24,-93,-27,14,-26,-76,5
