# 372.4565534072015
15,-63,26
17,-51,29
52,19,-1
22,-52,-2
36,-23,46
58,-31,66
-30,-48,-43
-2,-52,7
-22,-16,66
-7,-35,5
30,-1,-13
3,37,44
6,-37,-2
50,-14,35
61,4,11
23,-95,-32
8,-76,2
47,26,40
38,10,22
28,-42,-26
56,-29,-25
-55,-48,-54
-33,-7,-13
13,53,71
-51,-65,-22
9,6,20
26,22,65
44,-6,52
9,57,59
66,31,0
0,-40,-32
25,14,64
-14,-14,-36
-69,-47,-54
0,-72,-37
-30,-11,38
-34,-39,-15
-9,24,58
-37,59,33
-9,20,58
-30,-41,-41
-5,-37,-43
34,-8,31
75,37,-45
0,21,-53
38,-37,52
13,-76,11
3,-91,-11
21,-32,18
-11,-19,17
17,-28,27
35,0,3
16,-10,-10
20,-46,-1
9,5,-44
45,7,-28
31,-13,-62
-54,-19,-1
3,46,-9
6,-5,12
-13,15,45
-46,12,64
-61,-21,9
22,-38,47
4,21,6
-65,34,-23
-41,-80,-22
0,-4,54
-19,54,0
63,0,42
11,-38,-32
42,3,-66
-56,2,-17
-56,42,-14
-59,26,30
18,39,-34
-4,1,24
18,50,39
38,42,-59
-34,-15,-7
39,-35,30
-26,45,-14
-53,12,-57
8,23,7
-31,63,-3
-26,-10,-52
10,-8,10
-4,37,18
21,35,-57
-21,40,-47
44,47,45
0,10,25
41,61,40
-47,-61,-25
25,55,36
-15,2,-19
-34,-42,-64
0,-14,-34
-35,-30,-26
19,-31,-33
-30,-62,3
-59,-55,-34
78,62,-1
-9,-31,30
1,-1,-36
50,58,16
-18,50,50
-41,31,20
12,34,44
0,27,20
18,4,65
2,12,43
-37,-53,102
11,-42,71
9,-7,99
-2,-18,75
-58,-76,87
-27,45,-4
-16,-1,67
-27,6,22
-27,25,7
-43,7,-28
-38,61,-29
-24,43,-26
-35,39,-31
21,46,-41
0,42,56
4,-22,-28
-16,-18,-70
48,43,43
-15,26,-22
-39,-44,-30
23,62,37
-13,41,9
-50,-7,-65
-66,-63,-50
-7,-7,39
-74,-16,41
26,-40,21
47,35,-2
-11,-29,19
87,-3,-21
44,24,-8
12,8,19
-36,-28,3
-57,-35,-41
-51,-28,-26
63,72,63
-9,26,-12
-21,3,2
23,28,59
53,-13,-9
50,-19,-50
-32,27,47
-49,32,-21
-39,43,-51
-40,33,53
-54,28,-15
-60,38,-43
0,49,-8
-23,-6,-50
-34,40,0
18,22,-58
25,24,-29
31,54,-62
-22,-4,23
-34,-3,-12
-45,13,-33
-48,21,11
-69,31,26
-42,22,48
-9,-86,24
14,35,7
75,27,-24
-67,-120,-43
-14,-16,-42
12,9,-3
-52,-75,-19
-11,30,-26
31,46,18
8,-55,-16
-52,-73,-58
33,-9,-39
-55,-2,26
-42,8,-16
40,19,-21
10,49,51
17,54,46
21,31,5
0,-10,19
-44,-38,-10
-55,-48,-50
51,27,-5
14,-8,21
-67,-61,-2
75,58,48
48,29,0
9,34,-1
14,-46,47
34,-43,20
-12,-61,-20
58,-25,51
24,-51,35
23,-60,-54
25,36,39
-16,17,6
8,-66,-11
20,13,23
65,42,-16
45,13,-25
-49,48,-35
5,14,39
-7,30,-19
-67,32,11
-38,-9,8
-49,-11,-19
-31,-16,-38
-20,23,74
34,49,63
-8,-59,-46
23,-34,-18
-28,15,20
25,-55,-48
-12,-13,20
37,40,21
-55,-77,41
27,-9,29
1,-25,5
-11,-52,-23
59,9,28
-13,-30,28
24,-46,29
47,-46,27
-6,-48,1
67,56,2
53,25,-1
-2,-33,-54
-27,14,-9
-42,7,-10
-9,46,41
-9,14,14
-41,47,-11
-69,-13,-7
22,-42,-58
58,0,-15
