# 152.91595065077175
-4,12,18,27,33,9,10,11,-10,16,17,10,3,26,-15,15,23,22,-5,10,19,0,32,5,24,7,-4,3,13,4,12,-16,20,29,10,21,17,17,7,12,20,-6,8,2,-20,5,-21,-3,-5,-5,16,4,1,17,9,45,8,15,18,8,25,-1,26,6,13,-12,8,19,14,10,7,10,26,21,1,5,22,24,-6,10,20,15,3,-8,-4,17,14,9,8,13,29,16,13,9,18,2,-11,27,11,11,9,10,34,-7,5,16,-6,16,-9,16,8,13,7,-7,16,22,15,31,22,19,20,32,11,16,2,33,15,7
-17,11,1,11,26,5,-2,24,4,-17,17,10,8,9,11,16,0,21,7,-11,7,0,16,-2,12,5,0,18,23,-2,-6,-22,22,15,10,0,8,20,11,12,21,-22,8,4,-11,0,-17,-10,-8,7,0,8,17,7,4,27,-2,12,10,-4,29,5,30,24,21,-10,-6,18,8,7,0,0,-4,4,8,14,19,22,8,6,-1,25,-16,12,-3,25,15,7,2,11,31,-5,4,3,0,8,14,18,-2,9,-17,24,3,13,14,13,-8,27,16,20,9,14,-12,0,14,5,7,41,9,4,23,13,4,0,-10,30,5,9
-18,-3,2,22,25,-9,26,13,-2,6,10,29,0,18,-6,-2,11,-5,10,-4,-7,24,28,21,29,36,0,20,13,18,4,3,18,30,26,14,21,17,12,2,5,-9,22,-12,-19,33,0,22,24,20,11,24,30,24,-13,29,2,20,21,12,29,3,6,1,34,12,28,10,12,33,12,24,27,9,-6,23,23,5,23,13,29,13,-17,8,7,10,17,23,4,3,37,20,24,36,30,15,10,11,27,15,18,24,22,-3,30,20,-5,24,0,5,-8,1,9,-1,13,11,20,30,0,9,38,33,-1,5,14,39,18,19
-14,11,25,9,27,4,-10,26,14,13,29,-14,29,2,24,9,21,18,14,13,8,13,-5,7,0,0,-21,7,15,3,-15,-5,21,16,-10,-2,2,25,-6,4,12,-3,-10,-2,-6,0,-20,3,-5,0,-18,-9,-3,-2,16,37,-25,0,-4,21,28,21,27,0,3,7,-2,22,28,1,0,3,4,0,0,10,-9,18,13,-11,-4,9,0,-5,-3,18,11,9,-19,-9,35,-15,19,17,-4,14,2,12,14,2,-12,23,7,2,15,12,-21,21,0,14,-3,8,11,6,13,0,-6,28,24,-12,1,22,4,3,3,35,13,-18
6,19,-36,-9,-34,17,-37,5,3,32,-8,-14,-5,-26,-19,-6,-26,12,5,27,32,5,-19,-14,-22,-6,-20,-10,-12,-14,-31,13,-24,-13,-24,-6,-38,0,-48,-21,5,9,-15,7,-22,-25,9,-39,-22,-25,8,-33,-31,-15,10,-18,4,-26,-54,25,4,57,8,-9,-13,19,-15,-2,14,-21,3,-29,-5,-17,-5,-27,-21,10,-12,-2,-21,12,-12,-15,-10,4,0,-9,0,-23,10,-21,-10,-39,33,8,1,12,-37,52,-20,-2,7,-15,37,-20,2,0,-17,18,1,-9,11,-2,-4,-12,-32,-35,18,-38,-32,-13,-25,8,-28,-33,-7,-25
6,16,0,-1,-14,2,19,6,22,10,-21,5,-5,22,-14,-11,-16,-7,-5,12,22,10,8,22,7,36,19,13,-7,-21,-33,-7,-5,8,0,13,2,-17,-17,-11,8,4,-3,24,5,-1,12,10,8,14,33,13,-8,-6,22,-21,27,6,-22,12,-15,41,6,-10,0,9,-8,5,-7,16,5,5,-30,-8,0,-3,17,-6,-1,17,10,3,-29,0,-16,-20,17,9,16,-17,1,17,25,11,19,5,13,-2,-19,13,5,3,-5,2,4,-22,-14,13,-1,14,-5,-37,16,-13,-5,-7,21,-29,-9,-10,4,-13,2,9,-17,-15,5,11
-14,21,-56,1,-27,0,17,14,-11,34,-18,21,-5,12,-40,-12,-64,-4,-22,-16,0,6,17,23,24,45,11,33,2,-5,-79,21,13,29,13,16,4,-27,22,-25,-11,-17,11,24,27,26,-10,13,-7,20,23,7,14,5,-10,-22,21,22,-51,-4,13,-2,1,-12,39,-45,17,3,11,19,-6,28,19,-15,0,17,29,10,-26,10,7,8,-24,-2,-17,-11,-2,-7,9,-18,19,27,29,15,66,-7,5,-2,10,33,42,5,1,10,12,24,-6,8,6,-2,-1,-20,16,-61,-3,15,25,-19,7,7,26,-1,-14,-9,36,-24,-20,5
5,16,-16,-4,-10,36,-25,0,6,33,-4,-4,16,-14,-25,-14,-16,16,-9,-26,34,-15,1,6,1,12,4,-11,3,-13,-45,-9,2,-18,-22,7,-35,-10,-7,-26,-3,-9,-2,31,18,-3,6,-13,-18,-1,11,-9,-26,-5,13,1,5,-15,-34,6,20,22,0,-22,-22,-16,-11,-3,-1,0,0,-16,-8,-6,1,-2,-13,-5,-13,-5,3,22,-14,-28,-4,5,-1,1,5,-18,27,-3,20,-5,40,-3,19,8,0,18,-5,-1,11,12,17,-15,-26,17,7,19,1,-12,32,-32,1,-19,-8,-23,2,-22,-1,0,-8,21,3,-30,-13,-19
-15,15,-46,-10,27,34,34,-5,-27,-6,10,6,15,20,13,-4,26,22,14,13,1,27,11,13,15,34,35,34,16,14,-1,41,25,3,17,43,21,7,45,4,16,-24,8,21,58,18,10,35,28,9,-7,9,29,4,33,42,-19,18,3,2,4,39,0,1,35,35,44,10,25,0,9,1,16,8,18,15,8,3,-17,39,29,12,14,14,2,4,27,35,18,4,-7,36,-5,24,-4,-13,16,-1,38,-6,14,14,11,-17,-16,9,16,0,-5,31,14,-6,28,12,-2,21,22,59,22,32,9,48,8,31,59,57,-10,16
-9,3,1,-30,37,22,-3,-26,6,13,-14,-27,22,-20,0,15,35,9,12,0,-26,26,1,-12,-14,1,-8,0,-5,4,0,7,19,-10,0,26,-13,17,11,4,28,-17,-23,7,48,-26,-11,0,3,-8,-55,-2,15,-2,-5,49,-54,-3,-7,-9,2,49,-21,0,15,25,17,-8,8,-26,-4,-19,14,9,24,-12,6,18,-2,17,32,7,-9,-3,25,5,7,21,-11,8,-14,-9,12,-13,-3,-6,13,2,13,-18,-6,13,12,-4,9,3,-2,-28,6,24,8,7,0,28,-5,-12,-15,59,28,0,-22,55,-11,11,86,47,-20,-9
