# 166.4286736633281
3,-16,0,17,3,22,-7,-7,12,-4,7,-5,19,-7,-8,18,-1,-12,-11,-24,-9,-17,3,7,-5,6,19,-6,22,-16,13,-16,8,-4,-3,9,5,12,-16,17,17,-16,0,-19,3,10,2,7,0,-11,-30,-7,-15,-3,-7,7,-18,-8,18,0,3,37,-11,13
-2,-19,-17,20,-21,33,15,-3,-20,-3,27,-17,26,6,4,0,-14,-6,-16,-10,-37,-25,-13,-1,-19,5,0,-5,4,-12,-8,-26,-3,0,-1,-37,-7,-37,-16,6,1,-29,-16,-15,9,11,-3,20,-70,11,-65,-16,34,-8,5,-17,-11,-6,14,-2,12,26,-13,24
2,4,-22,21,1,10,-2,-3,2,0,16,-14,3,-3,-5,-30,10,15,12,4,-6,-1,10,11,2,1,-2,-5,-4,31,17,-47,10,-1,-13,12,-8,-15,10,28,0,-30,-11,10,39,-12,-11,5,-39,12,-29,0,18,-7,12,-20,8,-1,18,10,43,41,1,24
-9,-9,-2,-10,-9,13,-10,-2,-12,-14,-27,-15,30,-7,-8,-22,-16,-10,-8,-15,-28,-3,-13,-6,-7,-5,0,7,21,3,-28,-37,-7,-2,1,-12,0,2,-31,-5,7,-20,-18,-23,-14,-7,-14,-13,-22,-17,-58,-27,7,-1,17,-5,-7,-25,7,-7,-15,23,-25,0
-18,-21,-11,3,12,12,-5,-28,-22,-13,-26,-4,15,-6,0,4,-26,-8,-2,7,-26,4,0,2,-23,-3,-13,20,16,-29,-3,-23,7,-10,-34,1,-21,-36,-25,5,22,-53,0,6,-6,-5,-14,-17,-44,-19,-102,-28,11,-20,6,-12,-23,-14,26,-25,2,30,-16,4
-5,-6,20,6,-8,11,6,12,-4,17,-10,13,13,10,-5,-31,-16,16,8,4,24,31,6,2,6,-17,6,14,10,-8,13,19,6,0,-2,62,-13,12,0,11,9,-10,6,11,-15,13,9,-2,-1,9,-58,-2,30,4,3,16,16,4,14,-1,17,31,16,-20
-13,-1,1,-15,9,7,-16,0,7,0,0,4,29,-1,11,6,22,-17,-9,-19,-20,8,6,-1,-21,-9,-7,-6,19,-5,-5,6,-2,-1,2,-24,-4,-14,-14,-4,17,0,-10,-18,-1,9,7,-6,-8,-15,-41,-26,12,-1,8,0,-1,4,-7,-9,0,25,-4,-7
-23,-9,-31,-34,-15,24,4,3,12,-7,-31,31,20,1,-5,9,10,0,-12,-1,-4,23,9,-16,-28,4,12,-9,32,8,-18,-13,-6,0,0,19,0,-39,-23,16,8,-35,2,-1,9,-5,-8,-37,-2,-29,-85,-5,20,-7,18,13,3,13,-10,-23,-2,43,-2,10
9,-10,56,-21,-13,6,2,-1,16,7,-12,11,9,18,-2,9,6,9,5,4,28,8,-16,-9,11,-7,-7,-5,18,28,-29,34,-15,-19,10,31,17,36,-29,-13,2,-25,-17,16,15,-16,-12,-14,43,-16,-36,22,-6,11,3,57,51,5,0,16,-5,43,40,-3
27,-6,9,16,5,13,18,11,-4,17,0,8,3,-18,-26,4,-3,16,4,38,9,6,2,-23,4,15,-16,27,-8,-3,-15,-22,-5,-4,2,-4,4,8,-4,-21,-3,-14,-13,46,4,-23,-12,-6,0,5,9,2,-7,-9,18,4,-8,0,-21,16,10,23,1,21
16,11,-6,15,-38,9,33,17,14,-8,-3,11,9,-11,-11,-5,-27,-10,7,29,-12,-24,13,-12,-19,24,-9,-11,6,14,-5,-16,-4,11,18,-21,17,-16,-4,-13,3,-8,-11,17,19,10,15,-8,-7,-28,-5,11,16,-7,12,8,-12,-8,-15,-1,-10,15,22,0
12,-6,24,-3,-22,5,-5,-10,13,4,-12,-26,32,-11,-14,-24,-4,-27,-4,0,-11,-51,-23,6,-31,-10,17,-18,7,-13,13,15,-4,17,31,-7,21,1,0,-23,8,36,-33,-16,21,-8,4,-11,-20,-2,-4,15,-14,7,8,-29,-4,-18,10,5,-6,0,28,17
-3,0,-4,1,16,11,-11,-4,-31,-3,-13,-4,3,-1,-39,21,-4,13,-13,49,4,13,-14,-9,40,12,5,10,-34,-16,-21,5,-13,-16,-23,-1,-1,4,0,-21,-7,5,-11,8,-43,-33,-12,-15,22,20,-23,-6,-9,-36,24,-8,17,4,3,-12,14,13,-9,-3
-16,6,-22,27,32,-3,-7,8,-6,8,-3,15,15,-3,-13,14,-1,-3,13,18,10,12,4,4,24,9,7,45,-17,-39,-1,-5,11,3,-31,10,-3,-21,-5,-24,23,6,0,24,-27,10,11,5,-8,0,7,-8,26,17,24,-22,-3,10,9,-12,-4,14,-4,1
-36,-5,9,-20,5,-19,-13,28,-18,-15,13,-32,37,11,-16,-16,-57,-21,3,9,2,-19,-27,5,1,-16,6,30,-15,-29,3,-16,5,14,-4,19,20,-3,0,-7,22,-5,-4,6,-33,8,23,-10,10,-12,-19,18,0,22,20,-8,-38,4,-2,-20,-41,-2,-7,-29
-6,6,6,-38,-24,10,-17,13,11,-7,-18,-16,12,2,-51,0,9,12,-9,42,-27,-18,-5,-18,-20,5,-5,-48,-32,28,-19,1,-3,-19,21,-27,8,-6,2,-11,-53,-27,-20,-3,18,-25,-17,-19,10,-9,-10,-1,4,-18,40,26,5,18,-15,-26,3,18,-8,5
5,7,-16,-24,-7,1,-15,-21,17,0,-4,12,13,5,0,23,24,0,-10,34,-9,16,-8,-3,-27,1,-12,-41,-6,12,-28,2,6,-10,-10,-45,11,11,-1,-9,-19,-5,0,-18,7,-9,3,0,5,6,-20,14,2,20,24,13,24,14,-9,-6,7,9,3,9
10,15,-35,-3,14,-5,-24,-35,30,10,12,7,18,-14,0,7,35,-32,-22,20,-5,19,6,30,-4,6,0,-12,-20,-2,7,9,7,-7,9,-13,21,-12,19,-19,2,28,-2,-10,26,6,0,-10,-10,-6,13,15,0,25,17,-23,12,9,-15,24,15,5,0,15
9,-3,14,9,-9,-7,22,-4,2,-10,1,-16,4,10,-48,-22,-49,-1,3,15,-43,-46,-38,-5,5,22,1,-9,13,3,3,0,4,-15,10,-17,-10,-2,-34,-26,-10,5,-63,0,19,4,-6,11,-12,15,5,-9,17,-13,-2,-20,-10,-11,36,-19,4,3,-8,23
-5,-5,7,17,-16,6,-18,14,8,5,5,-30,14,12,-56,-35,-59,-14,2,0,-22,-65,-43,0,-5,6,-8,-9,0,10,-5,-3,0,0,-10,-25,-5,-14,-33,-36,-18,-15,-67,3,8,-5,0,6,-6,7,-20,-12,8,-18,-7,0,-11,-7,10,-44,0,4,-9,10
-10,2,6,-18,-7,3,-13,6,6,-21,-31,-2,28,-12,-48,14,-8,-15,-2,9,-20,-18,-11,-7,-12,-3,2,7,2,2,-4,2,12,7,13,23,12,-24,-38,-15,-6,-14,-60,-10,21,-25,12,-20,-15,-23,-17,-30,12,-5,-6,5,27,-1,-9,-26,0,4,-9,16
-16,-5,-6,-4,3,-13,2,29,-4,-2,6,0,1,8,-51,-9,-13,4,-15,8,21,-18,-36,-14,1,20,-13,-6,12,6,-43,12,-11,-16,-7,18,22,-6,-48,-47,9,-1,-64,5,-2,-24,-15,-6,13,-26,6,7,13,-5,-12,1,-11,2,-23,-9,-29,-9,-10,-7
-12,6,-10,-24,-2,1,5,18,16,2,-26,-5,25,2,-51,-14,-16,-10,-15,16,4,-30,-6,-21,-17,-13,-32,2,7,-6,-27,-4,0,-16,0,-6,0,-15,-39,-52,-7,-27,-54,12,2,-10,-8,-32,-5,-29,-16,-19,3,-17,4,0,-14,5,-32,-23,-38,-7,-15,4
8,-1,3,-8,-13,-7,-15,-11,13,-12,-21,-24,25,1,-75,2,-22,-23,-13,14,-10,-32,-32,-27,-11,-11,-25,-17,10,23,-25,5,4,2,0,-1,22,-4,-19,-59,11,-8,-66,-3,-3,-35,14,-22,4,-11,-19,-4,-3,-14,-11,12,-12,-7,-17,7,-28,-6,-2,-2
-9,9,0,6,23,-7,11,-9,18,8,-11,25,0,0,-30,19,14,0,-3,13,29,0,-17,-29,16,2,-21,-4,-4,-2,-21,16,-24,-4,-14,11,15,13,-40,-54,-6,15,-54,-2,-6,-14,13,-1,5,-14,-1,5,-1,-6,3,-6,22,1,-33,1,0,-2,2,6
-15,-3,-3,0,13,-22,-6,-9,13,-13,-2,16,30,9,-29,17,15,-5,5,0,18,7,-10,-21,-5,-15,-25,11,0,-2,-29,15,-2,-13,-21,22,-2,-1,-39,-60,2,4,-43,-9,-15,-36,-7,-2,0,-10,-18,-15,7,-14,0,0,18,0,-3,-9,-10,-4,7,-3
-13,9,0,-1,30,8,11,-10,11,-11,-27,21,26,-6,-38,12,4,-26,-8,7,3,-2,-6,-9,-2,-13,-17,10,8,-22,-22,2,6,2,7,6,4,-8,-1,-62,23,-14,-44,10,-20,-1,19,-1,-5,0,0,-5,34,30,3,21,-1,18,-14,2,-10,0,-5,3
-6,-22,-12,13,-10,9,-6,-20,14,-12,0,-29,37,11,-38,45,-9,-21,-11,-13,4,-58,-16,0,2,20,-18,12,34,0,14,15,1,15,8,-4,11,11,14,-13,16,19,-6,0,-1,-15,20,3,-28,9,-5,2,-4,-6,21,12,0,-9,10,18,0,19,14,32
-9,-9,-16,23,-8,16,-20,11,-16,-10,3,-28,44,13,-24,5,-7,-4,-9,7,-52,-29,-6,2,-10,1,-8,1,7,1,8,-24,4,9,-24,-30,-15,-12,12,24,11,-16,4,-3,7,-11,-13,13,-38,8,-21,-12,-17,-26,18,-13,4,0,10,-8,15,37,8,12
-11,-25,-33,27,-14,15,-32,10,-49,3,26,-35,8,1,-21,-34,-29,22,5,7,-60,-36,-3,23,-33,-4,-2,-25,-5,1,0,-56,1,-10,-5,-41,-38,-37,17,2,-3,-72,12,13,21,-14,-11,4,-47,-8,-63,-32,-14,-21,6,-23,-6,-3,15,-32,18,31,2,-7
0,-22,-4,-4,-13,8,-11,23,-19,-5,-11,-23,43,-2,-6,13,-43,-16,-19,0,-35,-9,2,0,-10,12,-13,10,8,7,4,-41,12,3,-7,-9,-11,-24,2,21,1,-21,-5,10,-20,0,1,-17,-62,-26,-70,-28,-4,-7,12,-12,-15,-23,5,-21,-10,29,-18,8
-5,-21,-1,-1,-16,25,-24,-8,-18,-18,-7,-15,39,1,-15,-31,-8,1,5,-4,-35,-18,-10,-10,-16,1,3,-3,23,-5,-2,-21,14,3,-16,-14,-4,0,-13,10,13,-28,-8,5,7,-12,-12,0,-43,-3,-42,-25,-6,-22,16,-19,1,-20,9,-7,5,23,-3,-12
4,-23,-23,0,-17,-4,-3,13,-36,6,-6,-18,4,6,-7,-15,-23,21,-11,6,9,3,-23,0,-11,-8,3,-17,13,-18,-29,-3,-3,-12,-10,-13,-27,-21,14,-11,8,-41,-14,4,-4,-6,-29,-27,-30,-14,-60,-18,-19,-8,20,-11,0,-21,9,-32,0,36,-14,-42
-9,-30,-26,-29,13,7,7,0,-19,0,-54,31,49,1,5,1,13,-10,-2,-4,-2,29,13,-4,-27,0,2,18,15,-3,16,-41,-7,-8,-11,9,-2,-8,-14,11,9,-29,-8,13,-21,-7,3,-45,-54,-32,-62,-38,-20,7,19,-10,16,13,-22,-19,0,23,-9,5
8,-10,8,-14,-16,5,0,-3,-10,10,-29,4,21,-4,3,-26,-22,15,2,0,9,11,-4,-7,-14,-10,-6,4,31,10,-2,2,-2,-14,-8,21,-18,11,2,12,18,-8,-5,-5,22,-15,9,-18,-5,-9,-32,-19,-4,-8,27,21,16,-20,-9,-12,-2,27,13,-16
-11,-21,14,0,-1,11,0,-9,-13,16,-7,8,6,5,-9,-1,-26,17,8,12,30,-2,-12,-10,-11,5,-33,3,7,-19,-12,-1,3,6,-4,22,-10,-3,0,-13,-2,-18,-32,18,-3,-32,-6,-29,-9,-27,-52,-6,5,-14,26,22,3,-20,3,-30,14,45,17,-14
1,4,-7,-23,-12,34,2,-11,7,6,-42,20,-7,0,-1,14,50,-8,-25,-20,34,31,40,-26,-29,12,-32,20,2,12,0,31,-14,-10,-6,32,1,-14,-37,-7,-10,7,-8,29,-35,-28,5,-12,-7,-19,-29,-17,-29,0,-8,21,42,7,-57,-12,-38,9,-4,-29
11,2,-3,-29,21,30,-10,3,-6,-1,-43,18,3,-3,8,30,34,4,-21,0,6,40,18,-54,-4,8,-26,8,0,-5,-34,6,-20,-7,-19,1,-3,12,-38,-4,-25,-24,7,36,-42,-22,-6,-27,13,-10,-30,-2,-6,2,-13,24,5,8,-41,-12,-21,13,-5,-16
8,1,4,-29,15,18,-11,12,12,-2,-33,13,-9,-7,21,22,0,-7,-9,3,5,31,12,-40,21,10,2,5,-11,-12,-37,2,-24,-13,-18,1,15,12,-30,-1,-6,-28,14,11,-45,10,-24,-41,24,-31,-12,-18,-13,-5,7,28,-6,18,-28,-27,-6,-12,-10,12
19,6,-10,23,-18,15,2,-22,-2,8,2,7,12,-1,-11,-13,-7,-12,-13,-24,3,-11,28,0,-26,11,-11,11,-10,15,21,0,-16,5,4,8,-8,-16,0,15,-22,6,8,22,4,-20,-1,27,-32,15,-5,-7,-19,-10,3,-16,15,4,-3,-5,-12,8,-10,-11
31,23,12,5,-4,17,-20,-3,-19,-6,-7,-7,8,-1,-1,2,3,6,-8,0,-12,-2,33,-27,-20,5,-1,-2,-10,7,-16,-10,-22,-22,-9,-15,0,-8,-11,8,-18,-22,-7,34,10,-17,-18,-4,-5,5,-10,-32,-12,-19,-2,2,3,-1,-6,0,-9,-6,-12,0
22,19,6,-15,-7,22,0,2,-11,-12,-16,0,9,-9,14,14,-4,1,-11,8,-28,3,16,-30,4,13,3,-14,-8,-15,-18,-5,-2,-19,-11,-50,24,7,-18,11,-8,-16,16,10,16,6,-21,-20,13,-15,-13,-14,0,-15,-7,18,-5,4,7,-17,2,-13,-30,24
27,-3,7,24,-25,27,22,-6,-13,-7,15,-11,12,1,-11,-19,-41,-10,0,-16,-5,-26,23,5,-28,5,0,8,-7,6,48,-6,2,11,16,5,2,-13,-20,17,-15,9,-17,13,8,0,-9,33,-35,9,8,-15,-23,-24,-5,-25,3,2,2,13,-12,0,-4,2
41,10,-9,30,-17,9,10,7,-13,-15,20,-31,19,-10,-15,-18,-44,-4,-10,10,-46,-25,15,17,-12,8,15,-7,-11,-2,8,-38,-6,1,15,-34,-10,-9,-1,37,-3,-14,-16,29,29,11,-17,22,-42,0,6,-22,-11,-20,2,-5,-8,-12,2,-13,18,-8,2,17
34,10,11,15,-2,16,8,26,5,4,7,-6,0,-1,7,-1,-32,2,17,3,-45,-14,7,-3,13,22,26,-6,4,-20,-7,-33,-7,-3,-9,-48,18,6,-1,35,-4,-24,6,25,24,4,-9,-7,-5,6,-4,-11,0,-18,9,-6,-8,0,19,-2,43,4,1,52
-19,2,-6,16,1,4,1,3,9,-15,-4,12,36,0,-8,2,-11,45,15,56,-2,0,-6,-6,-11,-4,-15,-2,0,1,-5,-1,10,-18,4,7,8,3,-11,8,7,-7,-1,13,6,-11,-18,-2,-8,7,-9,-12,19,-5,29,-9,-8,-6,18,-14,20,54,4,4
1,9,12,14,7,-8,13,2,-2,-6,9,26,37,-6,-4,-2,1,49,0,46,0,20,-7,-6,9,6,0,2,-15,-16,-18,7,22,-4,6,0,19,-10,-8,-11,18,8,-24,8,5,-5,10,0,-4,-1,-9,-19,0,-5,47,-14,-12,5,-6,-5,3,28,1,6
4,-16,11,0,-13,-26,16,-1,4,-1,-2,7,30,5,4,-22,8,30,8,52,10,4,-24,14,13,-13,4,8,0,-7,11,-9,7,-6,0,20,5,13,3,-11,0,13,4,10,5,4,-2,-10,13,3,-5,12,8,11,30,7,3,-7,0,-6,14,30,7,12
-3,12,0,-6,5,16,10,4,-7,-3,-7,6,35,-1,0,0,2,56,-10,62,0,-3,8,-2,-6,8,4,3,-9,4,-4,0,-2,-6,-6,-5,16,-4,27,13,8,4,-13,16,13,-15,3,-2,2,-8,8,-12,3,3,28,15,5,2,10,12,-3,45,-2,1
-9,-4,-1,-13,-3,-3,17,0,-3,-1,-2,10,31,-3,-6,-4,-6,50,13,52,1,5,-17,10,6,6,9,7,-1,-5,5,-3,19,-9,-4,-16,1,1,19,-11,-3,-7,-19,20,8,0,2,-9,-1,-5,-2,1,-4,7,49,5,6,10,-3,5,0,19,5,25
-13,10,-14,11,4,-11,12,-4,19,7,1,6,42,3,22,8,-2,39,5,62,9,4,-18,6,12,-8,6,2,1,1,-1,8,7,10,8,5,5,4,15,-4,0,5,-7,3,-3,2,-2,2,19,-5,-8,19,4,5,36,8,-10,-2,11,-10,11,16,10,-12
4,27,5,-1,10,8,10,17,-5,11,3,3,44,9,0,10,10,40,-10,51,0,17,-9,7,-9,5,4,0,-11,13,4,3,8,8,2,-4,13,2,32,0,-5,-8,3,45,3,4,3,12,1,2,6,11,21,-6,28,1,13,10,3,11,-5,33,4,5
-16,4,2,-2,10,-10,2,0,-3,0,10,15,39,9,0,15,-2,48,3,60,-5,-4,-18,26,-3,8,7,-1,-3,-12,-6,0,19,17,-3,-5,14,-5,31,-4,-6,8,-1,24,-2,-10,10,-5,4,-4,0,0,0,7,39,1,0,8,3,7,-9,28,5,3
-12,12,-11,-8,7,-9,5,-10,7,0,-14,-6,30,7,3,-1,-4,45,0,48,-8,6,-11,22,-4,-10,10,-16,-5,6,-4,12,3,16,3,12,10,0,28,16,12,21,11,11,11,-8,17,-3,25,-14,-6,23,-5,8,30,0,9,12,6,-2,-6,22,2,-22
-28,2,-37,-44,0,0,2,0,-6,-18,-17,0,24,-25,-20,25,15,-16,-13,10,-1,11,8,-26,-9,-7,-19,-4,-32,0,-16,-17,-23,-18,-33,-4,-7,-18,5,-21,-5,-13,-1,-10,-27,-24,-2,-45,-7,-22,-51,-19,-13,-12,8,-1,0,-10,-43,-9,-28,11,-16,-23
-30,-5,-21,-45,-6,10,10,-12,-14,-32,-46,-3,2,-27,-15,0,2,4,-4,4,-19,3,17,-28,-25,-5,-3,-20,-30,-15,2,-25,-13,-29,-5,-19,-13,-14,-9,7,-6,-43,14,-10,-40,2,-29,-38,-16,-38,-79,-24,-20,-11,6,-8,-3,13,-25,-29,-12,8,-9,-14
-34,-8,-41,-56,-4,8,0,-11,-10,-10,-11,-8,-1,0,0,-15,10,20,-4,16,-2,6,5,-27,-13,-2,-13,-22,-51,-7,-27,-20,-26,-10,-6,-20,-27,-1,-4,-19,-30,-28,-4,-16,-19,-13,-20,-32,2,-22,-90,-16,3,-13,-5,-2,-3,4,-23,-8,-4,8,-21,-12
-9,-3,-6,-11,-7,17,-13,-8,0,-28,-29,-10,13,-27,-15,0,-5,7,-12,7,-17,-7,24,-19,1,-13,-16,7,-14,0,4,-20,-21,-22,-17,-11,6,-6,-16,-9,-23,-41,4,-6,-12,1,3,-15,-24,-19,-65,-36,-4,-18,8,-8,13,3,-5,-28,-11,37,-17,-15
-30,-1,-14,-36,1,3,0,-1,-16,-16,-31,-1,15,-23,-12,-5,-10,9,-11,8,-3,18,24,-22,-4,4,-11,-23,-23,2,-18,-28,-26,-31,-7,-7,-3,-20,-10,15,-5,-23,0,1,-30,-4,-10,-44,-34,-36,-72,-23,-15,-24,4,-7,-3,-13,-10,-16,-32,25,-21,-17
-36,-13,-16,-51,-6,4,1,0,-19,-18,-47,-11,-2,-13,-1,-8,6,26,3,10,-11,3,9,-14,-8,-9,-2,-8,-25,-5,-7,-21,-15,-11,5,-15,-22,-4,4,3,-12,-33,0,-21,-18,-6,-17,-53,-22,-42,-87,-21,3,-15,0,5,-9,3,-27,-19,-22,18,-11,-8
24,10,30,29,-8,12,-12,11,-12,-19,23,-12,34,-11,-1,18,-5,-11,0,12,-13,0,3,10,22,1,0,3,-16,30,0,8,-15,-3,0,-1,3,18,13,3,-17,-16,-3,-22,39,-10,3,19,-8,17,-28,-37,-22,-14,-7,0,15,-8,3,-24,6,35,-10,22
-12,-11,14,8,-1,22,11,-5,-25,-33,8,6,13,-21,-12,19,0,3,11,15,18,19,2,7,-4,-4,-9,1,-28,-3,-1,7,-15,-11,8,13,-11,7,19,0,-12,-16,0,0,13,2,-3,-2,-13,-17,-74,-11,-10,-11,-8,0,20,-3,14,-15,15,28,-13,23
-23,-14,3,-14,-1,5,26,18,-9,-26,-17,-3,12,-17,-10,6,-10,14,2,21,10,20,4,13,5,11,-2,11,-34,0,-2,10,-5,4,19,9,0,-11,13,-3,-12,-19,-13,10,10,-1,-17,-28,14,-18,-56,-17,-1,-20,-2,2,-10,-9,9,-18,2,20,-23,27
-18,-14,-25,3,10,-3,7,20,15,-14,-17,16,23,-16,28,42,24,-31,-2,-2,-12,17,-7,-8,-16,-3,17,-7,9,-9,14,-27,-11,19,-2,11,12,-14,14,25,17,-36,26,-39,-8,18,-2,-30,-22,-15,-50,-11,-36,-8,-11,-7,-16,2,-6,-6,2,23,-3,17
-35,-12,-32,-2,-4,-12,-23,-9,0,1,7,-5,17,-15,14,-22,18,-18,8,7,1,10,-21,1,-22,-17,7,-18,0,22,-6,-58,16,-12,0,-19,-26,-38,-5,10,15,-42,17,-38,10,8,-15,-2,-44,-7,-109,-24,-2,22,-17,-10,6,6,24,-21,-2,24,1,6
-20,-7,-10,-6,13,-19,10,-9,0,0,0,18,22,15,4,1,7,10,17,4,3,3,-17,-7,0,-6,-7,16,2,-14,10,-15,-1,-8,0,-3,-15,-16,-28,10,-2,-31,-14,-15,6,9,-4,16,-25,-8,-27,-7,12,20,-33,0,-1,-3,0,17,8,10,3,15
-18,-18,-26,-17,0,-16,-2,9,4,-5,-8,9,23,-17,21,15,-1,-3,12,6,-6,12,5,4,-22,1,11,3,-3,9,4,-33,-4,4,-14,-9,4,-37,9,28,0,-44,30,-11,8,34,-5,-21,-33,-14,-68,-24,-29,15,-17,-19,-3,-2,10,-23,1,28,-14,4
-34,-18,-25,-22,8,-11,-4,3,-2,-11,5,-8,21,-2,27,-27,-6,2,7,21,-13,11,-19,0,-23,-10,10,-4,0,2,9,-38,17,4,-7,-33,-14,-32,4,8,3,-74,31,-32,-2,27,1,-20,-32,-5,-105,-25,-9,14,-5,-20,6,12,8,-23,16,21,-20,3
-31,-24,-26,-1,-12,-2,4,18,-4,-1,7,6,15,17,27,-4,5,18,12,26,-12,24,-10,15,-8,-8,8,-17,-3,1,-8,-39,-7,1,-11,-1,6,-13,-17,31,17,-26,21,-17,9,14,-15,-11,-19,-4,-43,-11,3,8,-20,-4,2,8,-5,-1,12,18,2,-6
-6,-19,-22,-5,0,-5,-12,18,-8,-6,-14,30,38,-19,23,18,15,-3,6,6,-13,21,8,3,-5,16,10,14,0,21,13,-28,-1,-9,-7,1,16,-17,-2,19,8,-41,17,-23,31,28,0,-10,-39,6,-66,-13,-16,17,-7,-13,12,15,-1,-8,0,16,-5,3
-37,-30,-29,2,0,-17,-4,2,0,-10,-1,2,17,9,9,5,-2,-5,12,21,-7,24,-4,4,-6,14,-16,-15,-7,-4,-8,-32,-3,1,-16,-11,3,-35,-13,20,22,-64,31,-13,10,15,-15,-27,-22,-5,-102,-25,-1,22,-6,-17,3,7,14,-26,20,15,-13,0
-25,-22,11,0,12,0,-2,7,3,-9,-5,13,16,17,25,-1,18,16,26,24,-6,11,-9,20,-21,3,19,7,1,-6,18,-10,-3,0,-5,-6,-6,2,-4,30,20,-36,23,1,9,23,-3,9,2,10,-56,-21,1,17,-24,-6,22,9,19,-16,28,34,8,-1
-5,0,-3,21,19,-15,0,13,-16,-16,-4,-11,22,-5,1,-20,-16,2,15,-7,1,-14,0,0,14,-8,-16,-1,-40,20,13,-26,19,28,5,-14,-12,3,23,0,5,-5,-11,-1,-1,-5,0,0,-25,5,-18,10,-11,2,5,0,-4,-8,24,1,26,1,-25,-15
-26,-19,8,31,29,3,14,3,-17,18,31,-14,6,12,-13,-5,-19,8,19,4,4,-8,-11,29,3,-3,1,7,-42,-14,33,5,19,30,21,4,-29,-2,16,-4,-12,-16,9,8,1,8,15,22,-14,15,-23,-3,-19,2,14,-15,-18,12,22,-14,5,9,-23,-11
-34,-31,-4,11,-11,4,17,4,-15,-5,0,-7,9,8,-4,-16,-38,19,-8,-3,24,9,-2,7,-27,2,19,33,-51,23,23,-20,-1,2,11,15,-32,-15,1,0,-21,-35,12,4,-10,22,-24,1,-24,-8,-74,0,2,-17,8,7,-6,39,8,-7,15,8,-37,2
-38,-2,-7,-51,22,-9,10,41,-12,15,-50,24,22,11,5,0,7,0,-8,-18,30,9,-15,0,-3,-18,22,11,-23,-13,-22,3,-6,0,4,29,-1,18,6,-8,12,2,6,4,-23,4,19,-27,16,-44,-58,21,-5,17,14,20,-17,-6,-35,-8,-27,-5,0,-13
-24,7,-5,-44,5,-18,43,18,0,6,-22,2,23,11,24,1,0,7,-10,13,27,18,-24,-25,6,7,3,-12,-32,9,-41,9,-16,-3,12,24,0,12,7,-12,-12,-4,-3,-13,-30,-13,-20,-19,-7,-39,-18,20,-4,20,16,14,-4,13,-58,-3,-53,7,-14,-31
-40,-16,-7,-35,0,-9,15,-28,0,5,-36,7,6,6,-8,7,14,30,-18,13,10,13,-9,-17,-39,-11,-14,3,-50,-3,-30,-18,-13,-14,15,29,-24,-25,-18,-41,-10,-22,-19,-10,-29,-33,-40,-26,-4,-48,-71,1,0,0,18,7,3,7,-45,-20,-18,24,-8,12
-24,2,-13,13,-18,-26,-8,13,5,-9,-2,0,18,-7,3,25,12,12,0,-9,12,-1,-23,2,-13,-22,2,-23,-14,16,-20,-5,-13,0,9,-21,-3,7,44,-6,-7,-3,1,-9,29,-2,12,-14,-2,7,-28,0,-30,24,16,2,11,13,-1,2,-3,0,6,19
-30,3,-17,10,4,-22,0,-23,13,14,-4,9,21,6,-6,-1,4,16,8,-3,5,-6,-12,-5,12,13,-4,-7,-37,-5,-2,-1,-4,6,6,-2,-17,0,23,-26,-14,-7,-2,4,30,-17,-9,-3,-16,1,-12,1,5,-5,6,-24,-12,-9,2,-8,-20,18,2,10
-41,-11,-43,-23,-17,-17,1,-20,2,4,-22,-23,7,-17,17,-8,2,16,-11,0,-32,-22,-27,-15,-26,-3,-3,24,-45,-22,-16,-15,-13,-11,20,-20,-25,-31,8,-21,-27,-32,12,-11,3,-20,-23,-8,-19,-20,-48,-11,2,-6,9,-22,-2,0,5,-27,-4,8,-23,4
-26,-11,-2,-37,-21,-26,0,14,1,-7,-25,1,10,-17,-20,-25,-6,13,7,33,-21,-16,-35,-11,-5,-6,-14,-8,-27,-25,-29,0,8,-22,-15,2,-12,-15,-40,-53,-30,-16,-69,-18,-32,-18,-20,-30,9,-24,4,-9,-7,-30,5,4,-32,-19,-34,-26,-8,-5,-14,-17
-22,4,-24,-22,-25,10,-12,-3,-4,-5,-20,27,25,8,-4,0,25,5,-10,21,-11,21,-2,-22,-5,-6,5,-1,-6,-3,-22,0,-5,-1,-21,-16,15,-24,-30,4,-20,3,6,-13,-17,-4,10,-16,-15,-16,-16,-28,-15,-1,10,-8,19,19,0,-17,-20,10,-22,4
